합계출산율,평균초혼연령,1인가구비율,행정구역별_경제활동인구,소비자물가지수,사교육비,유아 천명당 보육시설수,인구밀도
1.001,30.8,29.5,5391,94.47,475.5785777,14,16425
1.139,30.52,27.1,1756,94.807,300.920593,12.1,4484
1.216,30.16,25.8,1291,94.464,325.7649276,12.6,2794
1.216,29.85,23.3,1567,94.76,273.5453617,14,2748
1.207,30.09,28.8,755,95.306,261.5180075,15.2,3005
1.277,29.83,29.1,797,95.648,314.2452604,19.5,2860
1.486,29.65,24.5,590,96.251,257.3250032,13.2,1097
1.893,30.32,29.1,106,94.861,227.017515,12.1,403
1.272,30.02,23.4,6653,94.734,317.4587226,17.2,1221
1.311,29.61,31.2,765,94.369,199.8599695,17.2,90
1.414,29.48,28.8,862,95.073,201.5787465,14.5,215
1.48,29.15,29.5,1242,95.515,178.8702309,16.9,256
1.352,29.4,29.8,938,95.205,202.2357222,17.4,227
1.549,29.33,30.4,987,94.595,175.712,13.1,146
1.464,29.53,30.4,1478,95.795,206.1039524,15.7,141
1.437,29.75,27.6,1736,95.521,231.9850016,17.7,316
1.477,30.05,26.5,346,94.149,207.5374056,15.6,324
0.94,31.01,30.1,5372,95.585,496.6662974,14,16263
1.095,30.63,27.7,1754,95.929,321.5375854,12.1,4477
1.186,30.27,26.4,1301,95.412,329.4684242,12.3,2786
1.144,30.06,23.9,1598,95.571,278.3165099,14.1,2736
1.168,30.14,29,753,96.18,269.649811,15.5,2997
1.192,29.95,30.4,800,96.297,307.4977349,19.1,2848
1.418,29.74,24.6,599,97.205,284.0759022,12.9,1099
1.821,29.98,30.6,118,95.783,256.8120774,12.1,504
1.194,30.21,23.8,6767,95.624,336.6824073,16.6,1237
1.237,29.78,32.1,771,95.11,212.1626916,17.1,90
1.358,29.56,30.3,867,95.613,226.0675275,14.6,216
1.395,29.27,30.4,1266,96.171,198.7946067,17,258
1.251,29.65,30.7,960,95.718,224.6254287,17.4,227
1.466,29.47,31.2,994,95.486,201.5732751,13.6,146
1.396,29.75,31.3,1490,96.452,219.4350229,15.8,141
1.358,29.91,28.1,1763,96.405,247.8108469,17.1,317
1.432,30.42,27.4,363,95.366,249.0786879,14.6,334
0.836,31.2,31,5396,97.494,556.1349161,14.5,16136
0.976,30.74,28.7,1766,97.639,352.6664523,12.6,4447
