행정구역별,2015,2016,2017,2018,2019,2020
전국,4167.535824,4447.485399,4779.060694,5156.33752,5757.063453,5746.250128
서울특별시,475.5785777,496.6662974,556.1349161,593.0135082,649.1691889,663.923546
부산광역시,300.920593,321.5375854,352.6664523,360.6383533,408.3055715,391.9197812
대구광역시,325.7649276,329.4684242,369.5196997,373.4609817,403.3260269,385.1332244
인천광역시,273.5453617,278.3165099,307.5853254,350.5617608,403.1166389,397.5290586
광주광역시,261.5180075,269.649811,289.0031354,310.8350944,345.3919852,381.5611151
대전광역시,314.2452604,307.4977349,334.7043597,341.6608969,396.1985971,401.4409299
울산광역시,257.3250032,284.0759022,290.1471244,327.2367623,348.2229038,332.2405026
세종특별자치시,227.017515,256.8120774,290.6686709,344.8847389,407.7689658,397.2231877
경기도,317.4587226,336.6824073,355.8925976,407.1718009,440.8488757,430.5819198
강원도,199.8599695,212.1626916,245.0433056,253.5874757,260.6846016,276.5946934
충청북도,201.5787465,226.0675275,224.0788602,284.5715877,282.0392884,282.0819873
충청남도,178.8702309,198.7946067,211.6342893,220.9456302,286.5250245,244.4633179
전라북도,202.2357222,224.6254287,234.4801942,252.4208123,285.3749816,283.4944228
전라남도,175.712,201.5732751,178.3862326,224.5017623,233.5762497,253.5041977
경상북도,206.1039524,219.4350229,239.402223,250.3190924,268.9601112,262.7321362
경상남도,231.9850016,247.8108469,259.8643297,267.1897134,291.2431762,298.8374523
제주특별자치도,207.5374056,249.0786879,250.7467289,261.1696315,311.7600082,328.4775838
