행정구역별,2015,2016,2017,2018,2019,2020
전국,509,510,512,514,516,516
서울특별시,"16,425","16,263","16,136","16,023","15,956","15,891"
 부산광역시,"4,484","4,477","4,447","4,420","4,391","4,358"
대구광역시,"2,794","2,786","2,782","2,772","2,758","2,733"
인천광역시,"2,748","2,736","2,750","2,761","2,777","2,770"
광주광역시,"3,005","2,997","2,984","2,970","2,972","2,952"
대전광역시,"2,860","2,848","2,832","2,805","2,786","2,764"
울산광역시,"1,097","1,099","1,092","1,086","1,079","1,072"
세종특별자치시,403,504,571,650,709,749
경기도,"1,221","1,237","1,255","1,279","1,299","1,319"
강원도,90,90,90,90,90,90
충청북도,215,216,217,218,220,220
충청남도,256,258,262,265,265,264
전라북도,227,227,227,226,225,224
전라남도,146,146,146,146,145,145
 경상북도,141,141,141,141,140,139
경상남도,316,317,317,318,318,317
제주특별자치도,324,334,343,354,359,361
