행정구역별,2015,2016,2017,2018,2019,2020
전국,27.2,27.9,28.6,29.3,30.2,31.7
서울특별시,29.5,30.1,31,32,33.4,34.9
부산광역시,27.1,27.7,28.7,29.7,30.7,32.4
대구광역시,25.8,26.4,27.4,28.2,29.4,30.9
인천광역시,23.3,23.9,24.7,25.2,26.6,28.3
광주광역시,28.8,29,29.8,30.2,31.1,32.4
대전광역시,29.1,30.4,31.5,32.5,33.7,36.3
울산광역시,24.5,24.6,25.1,25.6,26.5,27.7
세종특별자치시,29.1,30.6,30.2,30,30.1,31.3
경기도,23.4,23.8,24.4,25.2,26.3,27.6
강원도,31.2,32.1,32.2,32.8,32.9,35
충청북도,28.8,30.3,31,31.8,32.9,34.8
충청남도,29.5,30.4,31.1,31.8,32.5,34.2
전라북도,29.8,30.7,31.2,31.7,32.3,33.8
전라남도,30.4,31.2,31.6,31.9,32.1,33.7
경상북도,30.4,31.3,31.9,32.3,32.7,34.4
경상남도,27.6,28.1,28.6,29.1,29.6,30.9
제주특별자치도,26.5,27.4,28.6,29.4,29.7,31.1
